index,lat,lng
25,40.6072509,-74.16234659999999
29,40.67202289999999,-73.9408497
34,40.6789093,-73.7491247
56,40.7858354,-73.80242930000001
62,40.67437570000001,-73.8020562
90,40.6761192,-73.819088
127,40.7710655,-73.9186955
135,40.7264761,-73.8944183
137,40.8568737,-73.8808233
142,40.8894322,-73.8344339
150,40.6962267,-73.8998769
170,40.6936131,-73.9842695
180,40.8571852,-73.86896949999999
195,40.8468548,-73.90848969999999
202,40.728744,-73.85796890000002
217,40.576986,-74.1695925
241,40.6683221,-73.91999659999999
245,40.8595852,-73.8874672
263,40.836111,-73.8754183
306,40.8615377,-73.9247774
308,40.5991059,-73.9991897
313,40.5985355,-74.0816499
392,40.6738443,-74.0000232
408,40.7853327,-73.8056714
409,40.6872402,-73.80746649999999
413,40.6848772,-73.9781039
472,40.8564405,-73.8944269
491,40.7368302,-73.7549225
507,40.8953702,-73.86355990000001
510,40.5575204,-74.2070433
533,40.6558047,-73.9233156
539,40.772833,-73.9579391
540,40.7256614,-73.72475179999999
551,40.8451292,-73.90052539999999
554,40.6690543,-73.7387297
592,40.6962634,-73.9303628
606,40.634895,-74.075447
613,40.74269169999999,-73.9538881
653,40.7536361,-73.9147053
659,40.6795971,-73.9348562
668,40.8696025,-73.903807
669,40.6473476,-73.9684362
670,40.7524902,-73.96494229999999
679,40.7024327,-73.8168618
700,40.8397807,-73.8350099
712,40.6400092,-74.0231075
722,40.7144124,-73.93069249999999
737,40.5830227,-73.9746436
750,40.7461012,-73.8243803
759,40.7064582,-73.861525
793,40.8283174,-73.9351191
802,40.7497176,-73.9668024
803,40.75216349999999,-73.7413716
815,40.7228662,-73.847697
818,40.5943982,-73.99536049999999
854,40.8280537,-73.9345374
855,40.6251495,-74.1487404
884,40.6282169,-74.0398774
889,40.744512,-73.97522699999999
913,40.7755635,-73.9914532
923,40.5575204,-74.2070433
985,40.8219568,-73.9438289
986,40.8109805,-73.9530744
988,40.7002025,-73.9869394
1001,40.7529268,-73.91028969999999
1014,40.8804766,-73.88384529999999
1019,40.7694309,-73.9102587
1067,40.6068889,-74.0775517
1070,40.7341259,-73.7232722
1076,40.6891956,-73.95723559999999
1107,40.7171672,-73.7979603
1121,40.8644583,-73.8133082
1149,40.7400307,-73.9762583
1155,40.6089178,-74.1782218
1156,40.6851781,-73.8590315
1177,40.6446992,-73.7974967
1190,40.7074656,-74.00407349999999
1203,40.8733853,-73.8893628
1223,40.7428001,-73.8961393
1234,40.7055899,-73.85811819999999
1245,40.6447096,-73.91993579999999
1259,40.8395431,-73.8829386
1261,40.7371677,-73.93083709999999
1266,40.7591821,-73.7774656
1284,40.7584096,-73.7764431
1315,40.8571512,-73.84379559999999
1376,40.6690812,-73.80170030000001
1380,40.8403137,-73.9216302
1396,40.8099273,-73.9623793
1401,40.8290844,-73.871514
1407,40.6625834,-73.9344754
1419,40.7484906,-73.8609811
1437,40.841226,-73.843075
1447,40.6752183,-73.9193886
1460,40.6445839,-73.95791950000002
1462,40.7128716,-73.9049078
1471,40.7542506,-73.89809749999999
1492,40.7425225,-73.8370387
1537,40.6934629,-73.96591760000001
1538,40.7377969,-73.93496259999999
1541,40.709209,-73.8432764
1543,40.60258899999999,-73.7497502
1544,40.6403867,-74.13152269999999
1562,40.7555116,-73.7926522
1571,40.7646176,-73.8234708
1576,40.6918721,-73.7782006
1578,40.7409618,-73.77836549999999
1588,40.6242648,-74.0188697
1599,40.624866,-74.1467236
1601,40.7350121,-74.0069833
1625,40.8463455,-73.8998498
1631,40.8240845,-73.8733814
1655,40.7215026,-73.8439314
1658,40.8426695,-73.9023491
1677,40.604541,-74.1207804
1685,40.6661773,-73.7626428
1731,40.7342845,-73.8646229
1760,40.824875,-73.90832189999999
1786,40.7591821,-73.7774656
1807,40.6778591,-73.8026253
1810,40.8336178,-73.8610071
1818,40.7684653,-73.88811009999999
1860,40.83820540000001,-73.8605481
1867,40.61480350000001,-74.0803967
1869,40.9021346,-73.86359139999999
1875,40.6740248,-73.9701254
1894,40.7283596,-74.0028418
1901,40.6392945,-73.8986857
1932,40.8330041,-73.8615451
1940,40.7563091,-74.00528229999999
1968,40.59500269999999,-74.162035
1982,40.7250101,-73.8947145
2023,40.7683883,-73.9816737
2036,40.563813,-74.11618109999999
2045,40.7217961,-73.999871
2047,40.7005711,-73.9502688
2050,40.6502017,-73.95740459999999
2060,40.6710857,-73.8511548
2061,40.6799792,-73.896908
2084,40.7679684,-73.8029526
2107,40.7578872,-73.9913237
2155,40.7666552,-73.8907361
2156,40.7250101,-73.8947145
2159,40.7545907,-73.7232014
2168,40.7104015,-73.8597374
2185,40.8149763,-73.84599829999999
2201,40.6149683,-74.06676279999999
2202,40.6692975,-73.84233979999999
2210,40.7855996,-73.9820112
2231,40.7591821,-73.7774656
2232,40.7173168,-73.81949469999999
2247,40.6301826,-74.0007505
2256,40.683098,-73.8051855
2263,40.8341675,-73.9448176
2265,40.6774254,-74.002635
2272,40.8044008,-73.9117775
2276,40.7389589,-73.81228159999999
2295,40.6072248,-73.9120899
2317,40.6740248,-73.9701254
2319,40.6356543,-74.1440054
2353,40.8566315,-73.86927399999999
2364,40.67753159999999,-73.76632260000001
2369,40.8434768,-73.8368172
2403,40.7566679,-73.7392715
2418,40.6779026,-73.8726725
2424,40.6805398,-73.99465990000002
2444,40.6710857,-73.8511548
2476,40.72848279999999,-73.8517391
2511,40.5994045,-73.9514757
2532,40.83224999999999,-73.9425148
2550,40.7343418,-73.93807439999999
2551,40.6740248,-73.9701254
2554,40.6379864,-74.0213215
2577,40.7678193,-73.9620137
2605,40.6225129,-74.1443397
2616,40.67437570000001,-73.8020562
2633,40.8569387,-73.856105
2638,40.7483748,-73.9765983
2653,40.659476,-73.7736463
2655,40.7745977,-73.9240133
2663,40.6746735,-73.9702674
2671,40.7069708,-73.7638624
2673,40.8659448,-73.8128924
2675,40.836111,-73.8754183
2712,40.7143767,-73.9460766
2729,40.70127950000001,-73.88886790000001
2757,40.78164049999999,-73.8257316
2761,40.8373934,-73.8877953
2768,40.769853,-73.9843413
2780,40.7865084,-73.95244389999999
2808,40.6905805,-73.83514219999999
2816,40.7194023,-74.0018897
2817,40.6462563,-74.0785732
2822,40.8775238,-73.86687429999999
2839,40.6580016,-73.8961678
2854,40.6397236,-74.1390948
2858,40.8458449,-73.8920017
2861,40.8942685,-73.8602714
2869,40.5709222,-74.16998339999999
2871,40.6306321,-73.9719732
2873,40.8642134,-73.8717487
2874,40.8213699,-73.8938801
2883,40.6144009,-74.157721
2893,40.6729382,-73.9703986
2907,40.6956499,-73.9663711
2911,40.6507367,-73.9719349
2919,40.7292281,-73.8713868
2955,40.7133679,-73.8595466
2989,40.6453293,-74.1047519
3032,40.7219136,-73.94104920000001
3036,40.7560483,-73.8634055
3041,40.683098,-73.8051855
3045,40.8572471,-73.8676397
3070,40.872849,-73.8885556
3089,40.7515351,-73.9996773
3102,40.6993719,-73.8886461
3107,40.6043811,-74.1625917
3127,40.8581205,-73.85663989999999
3146,40.7703991,-73.917701
3149,40.7119649,-73.94068949999999
3163,40.6670776,-73.8419339
3192,40.6916118,-73.9705599
3193,40.7225154,-73.9190345
3194,40.857929,-73.86820569999999
3203,40.6892465,-73.8285092
3232,40.8466655,-73.8594464
3251,40.6958264,-73.97035330000001
3255,40.7199335,-73.9930028
3257,40.6653704,-73.7310059
3259,40.6731607,-73.8961985
3260,40.6216323,-74.12399669999999
3310,40.67116790000001,-73.9614216
3320,40.7482677,-73.9522376
3328,40.6656029,-73.7945699
3331,40.7157197,-73.80777859999999
3340,40.6144009,-74.157721
3358,40.7006455,-73.9867987
3370,40.6306454,-74.0092315
3380,40.6956242,-73.9654096
3406,40.7450621,-73.9786159
3447,40.7255343,-74.004031
3457,40.721976,-74.0053926
3475,40.7290029,-73.8396316
3494,40.7034103,-73.86275719999999
3501,40.7424645,-73.8642417
3508,40.8137371,-73.9314107
3512,40.7142439,-73.8306015
3516,40.7790723,-73.9805958
3543,40.5845708,-73.9667224
3544,40.5845708,-73.9667224
3551,40.6782131,-73.7464725
3579,40.678368,-73.9081461
3600,40.8558357,-73.8750732
3639,40.7479636,-73.8395591
3641,40.7272176,-73.9074278
3656,40.7219136,-73.94104920000001
3671,40.6379652,-73.7411437
3709,40.7394939,-73.7928307
3711,40.7652761,-73.816152
3713,40.8487117,-73.9304743
3714,40.6273123,-74.0922851
3715,40.72774769999999,-73.9067276
3754,40.5943678,-74.0017816
3796,40.8581205,-73.85663989999999
3862,40.5899685,-73.8090983
3871,40.8845368,-73.9145333
3881,40.7279965,-73.85591860000001
3884,40.7157197,-73.80777859999999
3891,40.7786149,-73.844298
3898,40.6441474,-73.9578724
3915,40.6018439,-74.0059237
3930,40.8480997,-73.9309142
3950,40.6193912,-73.9828884
3954,40.6740248,-73.9701254
3955,40.6403867,-74.13152269999999
3956,40.7471006,-73.94231909999999
3984,40.7216417,-74.0120019
4013,40.8305452,-73.8507233
4017,40.8190057,-73.86431379999999
4034,40.6432991,-73.9741794
4059,40.838446,-73.9218458
4074,40.7477165,-73.976949
4096,40.6449412,-73.9743502
4102,40.7672579,-73.98622689999999
4138,40.69949709999999,-73.8152376
4147,40.7040413,-73.8163656
4171,40.563813,-74.11618109999999
4174,40.8031104,-73.9146136
4196,40.8656502,-73.8233821
4203,40.63929479999999,-73.95901359999999
4221,40.77006919999999,-73.9180921
4233,40.7517328,-74.00782
4235,40.6572773,-73.8987345
4239,40.6761261,-73.86720009999999
4242,40.6109676,-74.0980283
4260,40.7381964,-73.8796529
4325,40.6887284,-73.8471168
4334,40.8240845,-73.8733814
4348,40.7628302,-73.8332714
4429,40.614711,-73.9280392
4457,40.6066982,-73.750143
4469,40.67552420000001,-73.8987508
4502,40.7685051,-73.7298771
4520,40.8650305,-73.8927672
4522,40.7735381,-73.9853333
4528,40.7425225,-73.8370387
4531,40.8426695,-73.9023491
4543,40.6762345,-74.00096529999999
4546,40.7955812,-73.8258865
4548,40.7621875,-73.99361329999999
4555,40.7014383,-73.94306209999999
4563,40.7766715,-73.8462011
4573,40.6087806,-73.98672239999999
4580,40.7883127,-73.8161554
4588,40.74586559999999,-73.9843514
4594,40.8528359,-73.91867789999999
4598,40.6609087,-73.9608841
4599,40.6789585,-73.8653633
4601,40.8099273,-73.9623793
4612,40.7469312,-73.9732028
4619,40.65076759999999,-73.97188249999999
4622,40.7342845,-73.8646229
4625,40.7381167,-73.8047478
4633,40.6666841,-73.8717219
4679,40.7151268,-73.9926251
4681,40.7018225,-73.802388
4682,40.7074656,-74.00407349999999
4715,40.7108644,-73.958005
4723,40.8405583,-73.84124349999999
4727,40.7417769,-73.8252981
4750,40.85581630000001,-73.8699288
4755,40.7147713,-74.0162745
4760,40.78164049999999,-73.8257316
4761,40.6710857,-73.8511548
4771,40.6352232,-73.9677217
4776,40.6928027,-73.9520502
4786,40.5676316,-73.8787503
4799,40.8564592,-73.8380785
4805,40.6432991,-73.9741794
4818,40.746068,-73.7678207
4832,40.7360287,-73.9822778
4850,40.7380527,-73.9963386
4871,40.8320222,-73.8297042
4876,40.5578644,-74.1966333
4889,40.6848671,-73.7989936
4937,40.5849091,-73.94867280000001
4967,40.8551634,-73.89817049999999
4972,40.7119864,-74.0081296
4995,40.8595852,-73.8874672
4997,40.8342182,-73.8516573
5020,40.8315666,-73.830438
5027,40.6755886,-73.8149151
5056,40.7142182,-73.7941939
5067,40.5886077,-74.1458378
5109,40.7096995,-73.76302869999999
5117,40.76887989999999,-73.8685909
5132,40.7538996,-73.8227915
5139,40.5845708,-73.9667224
5172,40.7134655,-73.9150785
5194,40.748599,-73.8953409
5195,40.7864617,-73.8098844
5217,40.6308157,-73.9233098
5235,40.5406707,-74.2247956
5269,40.6970379,-73.7275191
5273,40.6379652,-73.7411437
5279,40.8240683,-73.908714
5310,40.67090839999999,-73.9140393
5317,40.7311477,-73.89576819999999
5319,40.8916173,-73.8518017
5337,40.7370036,-73.851698
5344,40.7152333,-73.8479074
5367,40.6087884,-74.0907976
5373,40.7735331,-73.9221412
5391,40.6446303,-73.9070871
5404,40.8277256,-73.8437577
5406,40.8538527,-73.8723274
5410,40.64095040000001,-73.9733753
5412,40.6616216,-73.9999294
5452,40.7128927,-74.013978
5514,40.7212767,-74.0054577
5544,40.7509256,-73.70473659999999
5555,40.76994819999999,-73.9167652
5561,40.7552577,-73.8700751
5573,40.6870255,-73.8221817
5585,40.7840609,-73.79466839999999
5647,40.6118027,-73.9076231
5658,40.8524543,-73.903532
5667,40.8837371,-73.8528829
5686,40.6102846,-74.09735069999999
5700,40.7017441,-73.8225358
5713,40.8121909,-73.9363414
5717,40.6762715,-74.0141774
5720,40.6801988,-73.8758295
5723,40.8256348,-73.85941799999999
5725,40.6798493,-73.86156249999999
5782,40.7283596,-74.0028418
5786,40.683098,-73.8051855
5794,40.7135316,-73.9986772
5806,40.7306065,-73.992401
5817,40.8059428,-73.9253414
5819,40.8216554,-73.8879449
5821,40.733459,-73.87026999999999
5829,40.7408036,-73.8436302
5840,40.5845708,-73.9667224
5851,40.7159698,-73.99174719999999
5853,40.8767337,-73.84729469999999
5887,40.8645013,-73.9337474
5899,40.6428354,-73.9608602
5929,40.8942685,-73.8602714
5936,40.7218595,-73.776825
5975,40.6730039,-73.9688676
6008,40.836197,-73.92225959999999
6013,40.6054526,-74.1678628
6023,40.65076759999999,-73.97188249999999
6052,40.6848772,-73.9781039
6084,40.718779,-73.94679529999999
6085,40.7194023,-74.0018897
6093,40.6155905,-74.0735792
6097,40.71629160000001,-73.996118
6098,40.6938982,-73.8121256
6104,40.7159534,-73.991706
6107,40.6447343,-73.924784
6114,40.6918101,-73.81096099999999
6141,40.6671127,-73.78674610000002
6149,40.5907855,-74.1658959
6150,40.8308687,-73.899725
6168,40.6331001,-73.8825653
6172,40.7389075,-73.700997
6209,40.5268545,-74.1911987
6236,40.7127929,-73.8270819
6241,40.6087884,-74.0907976
6272,40.8782541,-73.84108979999999
6303,40.6379652,-73.7411437
6317,40.6573731,-73.8940578
6352,40.6971472,-73.8132423
6356,40.7394939,-73.7928307
6383,40.7437488,-73.8359744
6392,40.7476168,-73.95649999999999
6415,40.6692975,-73.84233979999999
6434,40.7171672,-73.7979603
6436,40.6365143,-73.9157207
6451,40.8377877,-73.8594262
6500,40.7002025,-73.9869394
6520,40.8768489,-73.8838481
6521,40.6628382,-73.8808945
6522,40.6778591,-73.8026253
6538,40.6976638,-73.9859878
6557,40.6710857,-73.8511548
6565,40.8571852,-73.86896949999999
6568,40.6957265,-73.9683501
6573,40.6833496,-74.0019693
6581,40.8059428,-73.9253414
6586,40.6788116,-74.0037716
6593,40.6420559,-73.9289739
6600,40.72103329999999,-73.9810911
6623,40.5909466,-73.9834302
6629,40.7160874,-73.803039
6640,40.8524543,-73.903532
6671,40.7360287,-73.9822778
6672,40.6400434,-73.96704489999999
6719,40.7703991,-73.917701
6731,40.8778238,-73.9099452
6747,40.6098161,-74.16033159999999
6786,40.7454854,-73.9044605
6795,40.7591821,-73.7774656
6797,40.8012621,-73.9538543
6805,40.6242648,-74.0188697
6808,40.7596701,-73.78694519999999
6818,40.63472609999999,-74.02050299999999
6843,40.7425225,-73.8370387
6863,40.6988116,-73.9183395
6870,40.6570105,-73.8722451
6882,40.719126,-73.9935187
6884,40.7580997,-73.834182
6890,40.6784612,-73.83221920000001
6900,40.7453919,-73.9947169
6905,40.8564592,-73.8380785
6909,40.7702124,-73.8260572
6943,40.6740094,-73.8610717
6953,40.7539457,-73.8604703
6981,40.7607736,-73.9666474
6988,40.7298832,-73.99074829999999
7003,40.6587399,-73.8907071
7049,40.6606341,-73.736272
7074,40.7745977,-73.9240133
7100,40.67437570000001,-73.8020562
7120,40.6856518,-73.91530709999999
7138,40.8775238,-73.86687429999999
7177,40.6089178,-74.1782218
7183,40.85791880000001,-73.88362169999999
7204,40.8295975,-73.93101109999999
7207,40.7472924,-73.97405479999999
7220,40.7131463,-73.875266
7243,40.8275975,-73.85003019999999
7254,40.8277623,-73.9116974
7260,40.8027581,-73.9335814
7306,40.7709967,-73.833244
7314,40.7607412,-74.0020532
7326,40.7858468,-73.8383484
7329,40.77006919999999,-73.9180921
7338,40.7391554,-73.7919022
7344,40.8460805,-73.9171911
7386,40.7517328,-74.00782
7412,40.8577388,-73.8435509
7414,40.8365643,-73.87135409999999
7422,40.6011474,-73.9352646
7428,40.6935981,-73.9835804
7436,40.6740248,-73.9701254
7443,40.7255607,-73.8383789
7459,40.7506375,-73.93945219999999
7465,40.6017011,-74.1631713
7476,40.6872402,-73.80746649999999
7501,40.71466059999999,-73.77528219999999
7512,40.7342845,-73.8646229
7520,40.5995017,-74.12258659999999
7538,40.6331001,-73.8825653
7572,40.6385733,-73.95378269999999
7606,40.6135246,-74.1168076
7629,40.7024327,-73.8168618
7635,40.7237324,-73.9910366
7645,40.7456314,-73.9460217
7667,40.8330041,-73.8615451
7682,40.76417319999999,-73.9847405
7683,40.7903156,-73.9496387
7689,40.6379652,-73.7411437
7692,40.6420559,-73.9289739
7699,40.760322,-73.7316938
7729,40.8311874,-73.8850363
7755,40.6779026,-73.8726725
7762,40.8615377,-73.9247774
7801,40.678184,-73.8977378
7803,40.6447096,-73.91993579999999
7806,40.8569387,-73.856105
7809,40.7262241,-73.83871789999999
7855,40.6710857,-73.8511548
7861,40.7012714,-73.7919278
7898,40.6352232,-73.9677217
7924,40.5867374,-73.8084203
7934,40.7205688,-73.9362008
7945,40.6670776,-73.8419339
7947,40.7675306,-73.8270562
7958,40.72004889999999,-74.0039303
7996,40.7001932,-73.9622045
8006,40.77006919999999,-73.9180921
8029,40.7388699,-73.9165237
8058,40.6739564,-73.7351201
8083,40.58848400000001,-73.9918594
8102,40.8130492,-73.9501152
8108,40.6455558,-73.9056593
8119,40.8059428,-73.9253414
8148,40.7585646,-73.82961399999999
8177,40.6689508,-73.8767214
8192,40.8483207,-73.8973488
8198,40.6397883,-74.1647414
8201,40.730886,-73.8205815
8206,40.6257534,-74.02715590000001
8248,40.6253883,-74.1487272
8249,40.6846946,-73.8607705
8294,40.7182502,-73.7657369
8299,40.6056114,-74.077878
8300,40.7156402,-73.8164329
8307,40.7189861,-73.9751495
8319,40.6627586,-73.9316424
8321,40.8232635,-73.8827776
8323,40.8256348,-73.85941799999999
8327,40.5797632,-73.9761584
8339,40.8860328,-73.82792599999999
8351,40.6453281,-74.0167642
8384,40.6392673,-73.9377667
8400,40.6351992,-74.0170502
8431,40.7599955,-73.964805
8455,40.5985355,-74.0816499
8468,40.6781693,-73.8836881
8472,40.6521219,-73.8998264
8484,40.7607412,-74.0020532
8517,40.6449412,-73.9743502
8545,40.7425225,-73.8370387
8575,40.6670776,-73.8419339
8579,40.7417769,-73.8252981
8587,40.7621873,-73.96612429999999
8589,40.6740248,-73.9701254
8592,40.6173293,-74.0360832
8616,40.8021312,-73.9163505
8637,40.6844205,-73.7574016
8643,40.7501139,-73.84949209999999
8655,40.7354668,-73.85858499999999
8700,40.71976009999999,-73.79056419999999
8703,40.5953151,-74.1620547
8729,40.6282169,-74.0398774
8765,40.683098,-73.8051855
8770,40.69949709999999,-73.8152376
8790,40.6594628,-73.8984615
8841,40.57934400000001,-74.16961839999999
8856,40.5830227,-73.9746436
8876,40.7539552,-73.97213529999999
8878,40.7700554,-73.9144177
8907,40.7485045,-73.9568176
8911,40.7647005,-73.9917851
8933,40.7251936,-74.0112891
8936,40.8569387,-73.856105
8956,40.7394939,-73.7928307
8964,40.8566315,-73.86927399999999
8979,40.6420484,-73.8351347
8991,40.7237727,-74.00795289999999
9017,40.6693243,-73.8453159
9040,40.6379864,-74.0213215
9055,40.6867222,-73.97929549999999
9069,40.6331468,-73.9720968
9116,40.6925025,-73.8170612
9135,40.63214809999999,-73.89214439999999
9174,40.8388406,-73.8248794
9194,40.6938982,-73.8121256
9217,40.7160874,-73.803039
9251,40.5909466,-73.9834302
9255,40.7394939,-73.7928307
9260,40.6136034,-73.9631297
9265,40.7255607,-73.8383789
9282,40.68113570000001,-73.73374199999999
9327,40.5573195,-74.11496439999999
9335,40.6358626,-74.1662087
9336,40.6572773,-73.8987345
9344,40.6647724,-73.8864165
9363,40.8239818,-73.8770312
9368,40.7628302,-73.8332714
9402,40.8843774,-73.8871202
9419,40.525717,-74.2324795
9427,40.5911771,-74.19157109999999
9448,40.719802,-73.7828528
9456,40.8125772,-73.9292497
9475,40.5908084,-73.7895242
9480,40.8010452,-73.9591815
9486,40.5708978,-74.14791679999999
9493,40.8849083,-73.916249
9508,40.7489163,-73.87184549999999
9529,40.841724,-73.872101
9556,40.5844341,-73.9600193
9561,40.6056114,-74.077878
9566,40.6863888,-73.91657219999999
9570,40.7194023,-74.0018897
9572,40.7409688,-74.0054076
9628,40.8044008,-73.9117775
9651,40.6575576,-73.8691899
9656,40.8422689,-73.92759869999999
9659,40.85791880000001,-73.88362169999999
9662,40.7042349,-73.8420175
9686,40.754338,-73.9249646
9723,40.5987211,-74.071919
9725,40.6144009,-74.157721
9739,40.5909466,-73.9834302
9752,40.5860515,-73.931325
9781,40.70790909999999,-73.7494655
9796,40.6829861,-73.9331333
9799,40.6669591,-73.795385
9800,40.7700554,-73.9144177
9804,40.6507367,-73.9719349
9817,40.5866622,-74.163622
9820,40.7620683,-73.8035865
9824,40.6961579,-73.9783317
9864,40.8044008,-73.9117775
9892,40.721976,-74.0053926
9898,40.8569387,-73.856105
9910,40.6760603,-73.8765172
9922,40.7930103,-73.8071392
9928,40.8406319,-73.9459439
9941,40.71976009999999,-73.79056419999999
9959,40.8789881,-73.9090348
9965,40.6858057,-73.8574141
9979,40.6895018,-73.7528282
10001,40.7566679,-73.7392715
10009,40.852852,-73.904748
10023,40.7406097,-73.78663639999999
10038,40.8762709,-73.9039478
10039,40.6072509,-74.16234659999999
10041,40.5708283,-74.0927062
10047,40.8277256,-73.8437577
10059,40.8193371,-73.9300915
10084,40.719292,-73.97673619999999
10101,40.6017011,-74.1631713
10112,40.6887284,-73.8471168
10133,40.8154416,-73.9399853
10138,40.7171672,-73.7979603
10139,40.7103827,-73.81943380000001
10167,40.6952091,-73.9284422
10188,40.7171672,-73.7979603
10234,40.7613104,-73.8445412
10239,40.6231341,-74.1676081
10267,40.8532383,-73.82603639999999
10287,40.8770545,-73.9060787
10292,40.7380073,-73.9036818
10296,40.7082019,-73.781437
10345,40.8554301,-73.8312701
10354,40.7499753,-73.86173389999999
10384,40.8137371,-73.9314107
10394,40.720031,-73.9441832
10408,40.86422049999999,-73.9040169
10421,40.863943,-73.8942941
10431,40.6680283,-73.8701141
10446,40.6312715,-74.03956269999999
10474,40.5847139,-73.9437639
10478,40.6789585,-73.8653633
10510,40.7642529,-73.7879675
10541,40.6256535,-74.15312589999999
10550,40.6986204,-73.9381557
10551,40.693045,-73.9244483
10558,40.8468118,-73.9318509
10567,40.7417769,-73.8252981
10625,40.6740998,-73.7275614
10635,40.6918101,-73.81096099999999
10649,40.7706063,-73.83545459999999
10673,40.7396786,-73.9345774
10675,40.8403137,-73.9216302
10748,40.8577388,-73.8435509
10749,40.6918101,-73.81096099999999
10754,40.6740094,-73.8610717
10764,40.5845708,-73.9667224
10782,40.696349,-73.9764541
10789,40.7610255,-73.8978554
10807,40.7151574,-73.85860439999999
10819,40.7093061,-73.7973707
10828,40.7672557,-73.9841228
10829,40.8564592,-73.8380785
10847,40.7529268,-73.91028969999999
10872,40.6728003,-73.969224
10888,40.6837015,-73.8642982
10916,40.8796209,-73.9011393
10940,40.7024327,-73.8168618
10957,40.5849091,-73.94867280000001
10976,40.72155550000001,-73.9837898
10990,40.7793542,-73.7847871
11014,40.6202567,-73.94179729999999
11023,40.8575485,-73.8563906
11026,40.8336178,-73.8610071
11084,40.6932503,-73.97286439999999
11108,40.6706239,-73.84271249999999
11113,40.6574332,-73.8990752
11115,40.7766715,-73.8462011
11127,40.6968561,-73.949507
11143,40.60787699999999,-74.1792397
11164,40.8010452,-73.9591815
11170,40.8624132,-73.8940392
11191,40.7002025,-73.9869394
11197,40.6202567,-73.94179729999999
11227,40.767209,-73.8878926
11233,40.7595731,-73.9992925
11251,40.7060463,-73.8084744
11255,40.5921601,-73.7841294
11261,40.8196841,-73.8096169
11293,40.6678153,-73.9312192
11302,40.7683883,-73.9816737
11313,40.7040413,-73.8163656
11314,40.7076251,-73.78768699999999
11328,40.7677547,-73.9016298
11341,40.7251609,-73.995271
11369,40.7450913,-73.93350149999999
11381,40.7660518,-73.9833695
11434,40.7032488,-73.807166
11437,40.7186777,-73.940499
11449,40.7497176,-73.9668024
11456,40.8891634,-73.90281639999999
11462,40.7601169,-73.9630719
11493,40.74041709999999,-73.7821009
11498,40.6793687,-73.7304681
11500,40.7604256,-73.8614436
11504,40.7455486,-73.9572268
11519,40.8065777,-73.9250357
11545,40.7709967,-73.833244
11555,40.6449412,-73.9743502
11569,40.5613689,-74.1806577
11570,40.6215687,-74.1684701
11579,40.834261,-73.8648879
11609,40.8301514,-73.9396045
11635,40.64095040000001,-73.9733753
11641,40.7425225,-73.8370387
11642,40.7667049,-73.89213459999999
11646,40.68113719999999,-73.9556599
11656,40.65807909999999,-73.960444
11672,40.8216554,-73.8879449
11772,40.7585945,-73.98508559999999
11785,40.6045461,-73.9874844
11817,40.737343,-73.9342851
11825,40.6445839,-73.95791950000002
11852,40.5859952,-73.9390939
11854,40.6692975,-73.84233979999999
11874,40.683098,-73.8051855
11909,40.7342845,-73.8646229
11913,40.55484879999999,-74.1935452
11929,40.7096645,-74.0048247
11938,40.8548355,-73.9111882
11944,40.6074054,-74.16040579999999
12005,40.8566315,-73.86927399999999
12038,40.6670776,-73.8419339
12075,40.6709424,-73.90231
12080,40.639317,-74.0235171
12107,40.7285685,-73.7829753
12127,40.7953894,-73.9714125
12137,40.6124504,-74.13232169999999
12150,40.7899521,-73.98035589999999
12163,40.6098161,-74.16033159999999
12171,40.7220496,-73.9854976
12186,40.7064352,-73.9028034
12190,40.7497373,-73.9836347
12195,40.8153653,-73.8147579
12200,40.7134655,-73.9150785
12202,40.8137371,-73.9314107
12231,40.7150197,-73.95178
12238,40.5953842,-73.7569912
12251,40.8841398,-73.82613169999999
12252,40.588994,-74.167698
12279,40.68781389999999,-73.8335669
12286,40.7477165,-73.976949
12293,40.68860840000001,-73.8044949
12298,40.7513393,-73.93510069999999
12311,40.8487117,-73.9304743
12312,40.7628302,-73.8332714
12319,40.6831737,-73.9184511
12331,40.8575485,-73.8563906
12354,40.6764306,-73.91370719999999
12360,40.6069086,-73.752918
12373,40.7283596,-74.0028418
12388,40.7250101,-73.8947145
12405,40.7469798,-73.8480993
12415,40.6668804,-73.99489980000001
12431,40.742807,-73.8396442
12447,40.595833,-73.75961699999999
12466,40.7392585,-73.815158
12477,40.6840297,-73.83294649999999
12483,40.7692686,-73.9948458
12505,40.7039277,-73.81934749999999
12510,40.6216591,-74.13191030000002
12520,40.6376487,-74.1612555
12521,40.736582,-73.85403310000001
12535,40.86527299999999,-73.8932604
12539,40.7488892,-73.937533
