BOROUGH,LATITUDE,LONGITUDE,HOUR,DAY_OF_WEEK,MONTH,IS_WEEKEND,IS_RUSH_HOUR,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE TYPE CODE 1,TARGET
MANHATTAN,40.716198,-73.98754,11,2,7,0,0,Unsafe Speed,4 dr sedan,1
BROOKLYN,40.7042112,-73.961221,21,0,3,0,0,Backing Unsafely,SPORT UTILITY / STATION WAGON,0
BROOKLYN,40.609674,-73.9652232,16,6,12,1,1,Unspecified,UNKNOWN,1
BROOKLYN,40.670383,-73.985306,7,0,12,0,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,1
QUEENS,40.76536,-73.82787,10,0,9,0,0,Backing Unsafely,Sedan,0
BROOKLYN,40.637897,-73.90085,17,0,5,0,1,Driver Inattention/Distraction,Sedan,0
QUEENS,40.77229,-73.915405,3,5,6,1,0,Backing Unsafely,Taxi,0
BRONX,40.8801342,-73.9039386,12,3,10,0,0,Glare,PASSENGER VEHICLE,0
,,,9,3,4,0,1,Unspecified,SPORT UTILITY / STATION WAGON,1
QUEENS,40.7547111,-73.9257543,0,0,9,0,0,Unspecified,PASSENGER VEHICLE,0
QUEENS,40.72257,-73.75729,17,0,1,0,1,Unspecified,Sedan,0
,40.5588868,-74.1976949,7,0,1,0,1,Passenger Distraction,SPORT UTILITY / STATION WAGON,0
,40.657555,-73.734146,14,2,12,0,0,Glare,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.70518,-74.0074,9,1,6,0,1,Unspecified,Station Wagon/Sport Utility Vehicle,1
BROOKLYN,40.6898634,-73.9514645,10,3,8,0,0,Unspecified,PASSENGER VEHICLE,0
MANHATTAN,40.8290217,-73.9448371,20,2,7,0,0,Unspecified,UNKNOWN,1
BROOKLYN,40.6731994,-73.9763223,9,0,5,0,1,Unspecified,UNKNOWN,1
MANHATTAN,40.84932,-73.93374,20,1,7,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,1
BROOKLYN,40.6788706,-73.9216458,20,6,10,1,0,Unspecified,PASSENGER VEHICLE,0
BRONX,40.820053,-73.92666,18,2,2,0,1,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.680496,-73.821365,10,3,4,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
BRONX,40.87466,-73.91109,17,3,1,0,1,Unspecified,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.70138,-73.9551,12,3,5,0,0,Failure to Yield Right-of-Way,Bike,0
QUEENS,40.7462317,-73.8903671,19,4,12,0,0,Failure to Yield Right-of-Way,PICK-UP TRUCK,0
,,,4,0,4,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0
,40.585934,-73.9519,10,2,5,0,0,Unsafe Speed,Station Wagon/Sport Utility Vehicle,0
,40.881363,-73.90939,19,4,7,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.7880564,-73.9443222,17,0,2,0,1,Unspecified,SPORT UTILITY / STATION WAGON,0
QUEENS,40.57643,-73.85321,11,1,8,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,1
STATEN ISLAND,40.586845,-74.08662,15,1,9,0,0,Driver Inattention/Distraction,Sedan,0
,40.689274,-73.99912,17,3,7,0,1,Traffic Control Disregarded,Sedan,1
BRONX,40.899284,-73.85508,15,2,7,0,0,Backing Unsafely,Sedan,0
MANHATTAN,40.80587,-73.952805,8,5,8,1,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1
BROOKLYN,40.691353,-73.92142,19,0,11,0,0,Other Vehicular,Bike,1
BROOKLYN,40.639793,-73.929115,9,2,11,0,1,Unspecified,Sedan,0
MANHATTAN,40.72135,-74.00464,15,4,1,0,0,View Obstructed/Limited,Sedan,0
QUEENS,40.752766,-73.86319,18,4,12,0,1,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.76948,-73.95787,8,3,9,0,1,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.764214,-73.970955,10,6,10,1,0,Passenger Distraction,Taxi,1
BROOKLYN,40.7198,-73.953476,23,4,10,0,0,Driver Inattention/Distraction,Sedan,1
MANHATTAN,40.7477648,-73.9829581,19,0,12,0,0,Unspecified,PASSENGER VEHICLE,0
MANHATTAN,40.755272,-73.985176,4,4,7,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pick-up Truck,0
MANHATTAN,40.74282,-73.99845,14,2,10,0,0,View Obstructed/Limited,Sedan,1
MANHATTAN,40.7332923,-73.9871799,0,6,11,1,0,Unspecified,TAXI,0
BROOKLYN,40.6870802,-73.913891,5,1,1,0,0,Unspecified,UNKNOWN,0
BRONX,40.83933,-73.8990319,20,4,7,0,0,Alcohol Involvement,SPORT UTILITY / STATION WAGON,0
